
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 18, 0.0041536930948495865
 31%|███████████████████████████████████████████████████████████████████████████████████▍                                                                                                                                                                                         | 31/100 [17:06<38:06, 33.14s/it]
tuning, 19, 0.004105365835130215
tuning, 0, 0.0020310867112129927
tuning, 1, 0.00217635789886117
tuning, 2, 0.0019934296142309904
tuning, 3, 0.001686139963567257
tuning, 4, 0.001638658344745636
tuning, 5, 0.0017392229055985808
tuning, 6, 0.0016437711892649531
tuning, 7, 0.0014889880549162626
tuning, 8, 0.0014920340618118644
tuning, 9, 0.0015784322749823332
tuning, 10, 0.0016051357379183173
tuning, 11, 0.0015121264150366187
tuning, 12, 0.0013418660964816809
tuning, 13, 0.0012095528654754162
tuning, 14, 0.0011473395861685276
tuning, 15, 0.0011328491382300854
tuning, 16, 0.001146497204899788
tuning, 17, 0.0011664902558550239
tuning, 18, 0.0011610372457653284

 32%|██████████████████████████████████████████████████████████████████████████████████████                                                                                                                                                                                       | 32/100 [17:39<37:33, 33.14s/it]
tuning, 0, 0.002831023884937167
tuning, 1, 0.0020605046302080154
tuning, 2, 0.0018016420071944594
tuning, 3, 0.0016854931600391865
tuning, 4, 0.001621423289179802
tuning, 5, 0.0015800278633832932
tuning, 6, 0.0015150934923440218
tuning, 7, 0.0014130070339888334
tuning, 8, 0.001297546667046845
tuning, 9, 0.001193210482597351
tuning, 10, 0.0011116820387542248
tuning, 11, 0.0010525905527174473
tuning, 12, 0.0010080067440867424
tuning, 13, 0.0009705204283818603
tuning, 14, 0.0009353978093713522
tuning, 15, 0.0009003380546346307
tuning, 16, 0.0008679287857376039
tuning, 17, 0.0008416401105932891

 33%|████████████████████████████████████████████████████████████████████████████████████████▊                                                                                                                                                                                    | 33/100 [18:12<37:01, 33.16s/it]
tuning, 19, 0.0007977209752425551
tuning, 0, 0.003104638308286667
tuning, 1, 0.002135384827852249
tuning, 2, 0.0015728168655186892
tuning, 3, 0.0014285070355981588
tuning, 4, 0.0013180915266275406
tuning, 5, 0.001229404006153345
tuning, 6, 0.0011893133632838726
tuning, 7, 0.0011844988912343979
tuning, 8, 0.0012620816705748439
tuning, 9, 0.0012474780669435859
tuning, 10, 0.0010943495435640216
tuning, 11, 0.0009802010608837008
tuning, 12, 0.0009590946137905121
tuning, 13, 0.0009611112764105201
tuning, 14, 0.0009521991014480591
tuning, 15, 0.0009316589566878974
tuning, 16, 0.0008693232666701078
tuning, 17, 0.000786652322858572
tuning, 18, 0.0007478314219042659

