  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.4922, device='cuda:0') 111.75 116.4375
tensor(0.4811, device='cuda:0') 111.6875 116.4375
tensor(0.4773, device='cuda:0') 111.6875 116.375
tensor(0.4690, device='cuda:0') 111.625 116.375
tensor(0.4648, device='cuda:0') 111.5625 116.375
tensor(0.4595, device='cuda:0') 111.5625 116.375
tensor(0.4318, device='cuda:0') 111.5 116.375
tensor(0.4179, device='cuda:0') 111.5 116.375
tensor(0.4248, device='cuda:0') 111.4375 116.3125
tensor(0.4483, device='cuda:0') 111.4375 116.375
tensor(0.4767, device='cuda:0') 111.375 116.375
tensor(0.4649, device='cuda:0') 111.375 116.3125
tensor(0.3859, device='cuda:0') 111.375 116.3125
tensor(0.3759, device='cuda:0') 111.375 116.375
tensor(0.4427, device='cuda:0') 111.3125 116.375
tensor(0.4445, device='cuda:0') 111.3125 116.375
tensor(0.4451, device='cuda:0') 111.3125 116.375
tensor(0.4414, device='cuda:0') 111.3125 116.375
tensor(0.4234, device='cuda:0') 111.3125 116.375
tensor(0.4329, device='cuda:0') 111.3125 116.375
tensor(0.4237, device='cuda:0') 111.25 116.375
tensor(0.4201, device='cuda:0') 111.25 116.375
tensor(0.4233, device='cuda:0') 111.25 116.375
tensor(0.4277, device='cuda:0') 111.25 116.375
tensor(0.4578, device='cuda:0') 111.25 116.375
tensor(0.4710, device='cuda:0') 111.25 116.375
tensor(0.4667, device='cuda:0') 111.25 116.4375
tensor(0.4678, device='cuda:0') 111.25 116.4375
tensor(0.4616, device='cuda:0') 111.25 116.4375
tensor(0.4550, device='cuda:0') 111.25 116.4375
tensor(0.4491, device='cuda:0') 111.25 116.4375
tensor(0.4568, device='cuda:0') 111.25 116.4375
tensor(0.4629, device='cuda:0') 111.25 116.4375
tensor(0.4666, device='cuda:0') 111.25 116.4375
tensor(0.4698, device='cuda:0') 111.3125 116.5
tensor(0.4712, device='cuda:0') 111.3125 116.4375
tensor(0.4606, device='cuda:0') 111.3125 116.5
tensor(0.4349, device='cuda:0') 111.3125 116.5
tensor(0.4284, device='cuda:0') 111.3125 116.5
tensor(0.4237, device='cuda:0') 111.3125 116.5
tensor(0.4175, device='cuda:0') 111.3125 116.5
tensor(0.4158, device='cuda:0') 111.3125 116.5625
tensor(0.3977, device='cuda:0') 111.3125 116.5625
tensor(0.3673, device='cuda:0') 111.375 116.5625
tensor(0.3170, device='cuda:0') 111.375 116.5625
tensor(0.2888, device='cuda:0') 111.375 116.5625
tensor(0.2876, device='cuda:0') 111.375 116.5625
tensor(0.2851, device='cuda:0') 111.375 116.5625
tensor(0.3826, device='cuda:0') 111.375 116.625
tensor(0.4636, device='cuda:0') 111.375 116.5625
tensor(0.4673, device='cuda:0') 111.4375 116.625
tensor(0.4789, device='cuda:0') 111.4375 116.625
tensor(0.4734, device='cuda:0') 111.4375 116.625
tensor(0.4688, device='cuda:0') 111.4375 116.625
tensor(0.4640, device='cuda:0') 111.4375 116.625
tensor(0.4592, device='cuda:0') 111.4375 116.625
tensor(0.4468, device='cuda:0') 111.4375 116.625
tensor(0.4346, device='cuda:0') 111.4375 116.625
tensor(0.4299, device='cuda:0') 111.4375 116.625
tensor(0.4267, device='cuda:0') 111.4375 116.625
tensor(0.4376, device='cuda:0') 111.4375 116.625
tensor(0.4347, device='cuda:0') 111.4375 116.625
tensor(0.4298, device='cuda:0') 111.4375 116.625
tensor(0.4237, device='cuda:0') 111.4375 116.625
tensor(0.4178, device='cuda:0') 111.4375 116.625
tensor(0.4186, device='cuda:0') 111.4375 116.625
tensor(0.4151, device='cuda:0') 111.4375 116.625
tensor(0.4041, device='cuda:0') 111.4375 116.625
tensor(0.4049, device='cuda:0') 111.4375 116.625
tensor(0.4139, device='cuda:0') 111.4375 116.625
tensor(0.4165, device='cuda:0') 111.4375 116.625
tensor(0.4175, device='cuda:0') 111.4375 116.625
tensor(0.4059, device='cuda:0') 111.4375 116.625
tensor(0.3818, device='cuda:0') 111.4375 116.625
tensor(0.3706, device='cuda:0') 111.4375 116.625
tensor(0.3894, device='cuda:0') 111.4375 116.625
tensor(0.4136, device='cuda:0') 111.4375 116.625
tensor(0.4074, device='cuda:0') 111.4375 116.5625
tensor(0.4051, device='cuda:0') 111.4375 116.5625
tensor(0.4016, device='cuda:0') 111.4375 116.5625
tensor(0.3841, device='cuda:0') 111.4375 116.5625
tensor(0.3732, device='cuda:0') 111.4375 116.5625
tensor(0.3446, device='cuda:0') 111.4375 116.5625
tensor(0.3262, device='cuda:0') 111.4375 116.5625
tensor(0.3210, device='cuda:0') 111.4375 116.5
tensor(0.3912, device='cuda:0') 111.4375 116.5
tensor(0.4812, device='cuda:0') 111.5 116.5
tensor(0.4912, device='cuda:0') 111.5 116.5
tensor(0.5030, device='cuda:0') 111.5 116.5
tensor(0.4649, device='cuda:0') 111.5 116.5
tensor(0.4764, device='cuda:0') 111.5 116.5
tensor(0.4934, device='cuda:0') 111.5 116.5
tensor(0.5108, device='cuda:0') 111.5 116.5
tensor(0.4906, device='cuda:0') 111.5 116.5
tensor(0.4894, device='cuda:0') 111.5 116.5
tensor(0.4543, device='cuda:0') 111.5 116.5
tensor(0.4318, device='cuda:0') 111.5 116.5
tensor(0.3942, device='cuda:0') 111.5 116.5
tensor(0.3659, device='cuda:0') 111.5 116.5
tensor(0.3409, device='cuda:0') 111.5 116.5
tensor(0.3225, device='cuda:0') 111.5625 116.5
tensor(0.3282, device='cuda:0') 111.5625 116.5
tensor(0.4146, device='cuda:0') 111.5625 116.5
tensor(0.5132, device='cuda:0') 111.5625 116.5
tensor(0.5349, device='cuda:0') 111.5625 116.5
tensor(0.5427, device='cuda:0') 111.5625 116.5
tensor(0.5406, device='cuda:0') 111.5625 116.5
tensor(0.5384, device='cuda:0') 111.625 116.5
tensor(0.5446, device='cuda:0') 111.625 116.5
tensor(0.5463, device='cuda:0') 111.625 116.5625
tensor(0.5413, device='cuda:0') 111.625 116.5625
tensor(0.5332, device='cuda:0') 111.625 116.5625
tensor(0.5167, device='cuda:0') 111.625 116.5625
tensor(0.5061, device='cuda:0') 111.625 116.5625
tensor(0.5021, device='cuda:0') 111.625 116.5625
tensor(0.4936, device='cuda:0') 111.6875 116.5625
tensor(0.4893, device='cuda:0') 111.6875 116.5625
tensor(0.4932, device='cuda:0') 111.6875 116.5625
tensor(0.5042, device='cuda:0') 111.6875 116.5625
tensor(0.5229, device='cuda:0') 111.6875 116.5625
tensor(0.5228, device='cuda:0') 111.6875 116.5625
tensor(0.5251, device='cuda:0') 111.6875 116.5625
