
  0%|                                                                                                                                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
tensor(3.2894, device='cuda:0') tensor(0.6330, device='cuda:0')
159, NMSE : 0.004428863525390625, lr : 0.05
tensor(3.2235, device='cuda:0') tensor(0.6925, device='cuda:0')
160, NMSE : 0.00441741943359375, lr : 0.05
tensor(3.1926, device='cuda:0') tensor(0.7025, device='cuda:0')
161, NMSE : 0.004421234130859375, lr : 0.05
tensor(3.1895, device='cuda:0') tensor(0.6732, device='cuda:0')
162, NMSE : 0.004436492919921875, lr : 0.05
tensor(3.1538, device='cuda:0') tensor(0.6964, device='cuda:0')
163, NMSE : 0.00446319580078125, lr : 0.05
tensor(3.1655, device='cuda:0') tensor(0.6748, device='cuda:0')
164, NMSE : 0.004482269287109375, lr : 0.05
tensor(3.1747, device='cuda:0') tensor(0.6582, device='cuda:0')
165, NMSE : 0.004486083984375, lr : 0.05
tensor(3.1143, device='cuda:0') tensor(0.6520, device='cuda:0')
166, NMSE : 0.004486083984375, lr : 0.05
tensor(3.0871, device='cuda:0') tensor(0.7044, device='cuda:0')
167, NMSE : 0.004482269287109375, lr : 0.05
tensor(3.1375, device='cuda:0') tensor(0.6883, device='cuda:0')
168, NMSE : 0.0044708251953125, lr : 0.05
tensor(3.2170, device='cuda:0') tensor(0.5820, device='cuda:0')
169, NMSE : 0.004467010498046875, lr : 0.05
tensor(3.2397, device='cuda:0') tensor(0.6153, device='cuda:0')
170, NMSE : 0.004474639892578125, lr : 0.05
tensor(3.2975, device='cuda:0') tensor(0.6484, device='cuda:0')
171, NMSE : 0.004497528076171875, lr : 0.05
tensor(3.3332, device='cuda:0') tensor(0.6377, device='cuda:0')
172, NMSE : 0.00453948974609375, lr : 0.05
tensor(3.2789, device='cuda:0') tensor(0.6461, device='cuda:0')
173, NMSE : 0.004581451416015625, lr : 0.05
tensor(3.2004, device='cuda:0') tensor(0.6738, device='cuda:0')
174, NMSE : 0.00461578369140625, lr : 0.05
tensor(3.1328, device='cuda:0') tensor(0.6706, device='cuda:0')
175, NMSE : 0.004619598388671875, lr : 0.05
tensor(3.1287, device='cuda:0') tensor(0.6900, device='cuda:0')
176, NMSE : 0.004608154296875, lr : 0.05
tensor(3.1962, device='cuda:0') tensor(0.6928, device='cuda:0')
177, NMSE : 0.004589080810546875, lr : 0.05
tensor(3.3361, device='cuda:0') tensor(0.6504, device='cuda:0')
178, NMSE : 0.004566192626953125, lr : 0.05
tensor(3.3333, device='cuda:0') tensor(0.6653, device='cuda:0')
179, NMSE : 0.004550933837890625, lr : 0.05
tensor(3.2495, device='cuda:0') tensor(0.6771, device='cuda:0')
180, NMSE : 0.00453948974609375, lr : 0.05
tensor(3.2320, device='cuda:0') tensor(0.6882, device='cuda:0')
181, NMSE : 0.0045318603515625, lr : 0.05
tensor(3.2441, device='cuda:0') tensor(0.6855, device='cuda:0')
182, NMSE : 0.0045166015625, lr : 0.05
tensor(3.3264, device='cuda:0') tensor(0.6738, device='cuda:0')
183, NMSE : 0.004520416259765625, lr : 0.05
tensor(3.4806, device='cuda:0') tensor(0.4772, device='cuda:0')
184, NMSE : 0.0045318603515625, lr : 0.05
tensor(3.2838, device='cuda:0') tensor(0.6485, device='cuda:0')
185, NMSE : 0.00453948974609375, lr : 0.05
tensor(3.2076, device='cuda:0') tensor(0.5487, device='cuda:0')
186, NMSE : 0.004543304443359375, lr : 0.05
tensor(3.6750, device='cuda:0') tensor(0.4168, device='cuda:0')
187, NMSE : 0.004543304443359375, lr : 0.05
tensor(3.2823, device='cuda:0') tensor(0.6796, device='cuda:0')
188, NMSE : 0.00453948974609375, lr : 0.05
tensor(3.2787, device='cuda:0') tensor(0.6901, device='cuda:0')
189, NMSE : 0.00453948974609375, lr : 0.05
tensor(3.2814, device='cuda:0') tensor(0.7039, device='cuda:0')
190, NMSE : 0.004543304443359375, lr : 0.05
tensor(3.3483, device='cuda:0') tensor(0.6931, device='cuda:0')
191, NMSE : 0.0045623779296875, lr : 0.05
tensor(3.4167, device='cuda:0') tensor(0.6665, device='cuda:0')
192, NMSE : 0.004581451416015625, lr : 0.05
tensor(3.4390, device='cuda:0') tensor(0.6379, device='cuda:0')
193, NMSE : 0.004604339599609375, lr : 0.05
tensor(3.4053, device='cuda:0') tensor(0.5900, device='cuda:0')
194, NMSE : 0.004619598388671875, lr : 0.05
tensor(3.2762, device='cuda:0') tensor(0.6512, device='cuda:0')
195, NMSE : 0.00463104248046875, lr : 0.05
tensor(3.1800, device='cuda:0') tensor(0.6967, device='cuda:0')
196, NMSE : 0.004619598388671875, lr : 0.05
tensor(3.2030, device='cuda:0') tensor(0.6969, device='cuda:0')
197, NMSE : 0.004596710205078125, lr : 0.05
tensor(3.2210, device='cuda:0') tensor(0.7157, device='cuda:0')
198, NMSE : 0.004566192626953125, lr : 0.05
tensor(3.2369, device='cuda:0') tensor(0.7115, device='cuda:0')
199, NMSE : 0.00453948974609375, lr : 0.05
tensor(3.2829, device='cuda:0') tensor(0.6841, device='cuda:0')
200, NMSE : 0.004520416259765625, lr : 0.05
tensor(3.2805, device='cuda:0') tensor(0.6193, device='cuda:0')
0 2.888671875 0.05 6.74609375
inversion time : 61.29202318191528
  1%|██▊                                                                                                                                                                                                                                                                                  | 1/100 [01:09<1:54:01, 69.11s/it]
start, NMSE : 0.0360107421875
1, NMSE : 0.0360107421875, lr : 0.05
tensor(1761.4810, device='cuda:0') tensor(0.8717, device='cuda:0')
2, NMSE : 0.17138671875, lr : 0.05
tensor(20.8253, device='cuda:0') tensor(0.5395, device='cuda:0')
3, NMSE : 0.162841796875, lr : 0.05
tensor(18.7583, device='cuda:0') tensor(0.5277, device='cuda:0')
4, NMSE : 0.1566162109375, lr : 0.05
tensor(16.5995, device='cuda:0') tensor(0.4946, device='cuda:0')
5, NMSE : 0.1522216796875, lr : 0.05
tensor(15.2108, device='cuda:0') tensor(0.3786, device='cuda:0')
6, NMSE : 0.149169921875, lr : 0.05
tensor(13.5573, device='cuda:0') tensor(0.3582, device='cuda:0')
7, NMSE : 0.1468505859375, lr : 0.05
tensor(11.4995, device='cuda:0') tensor(0.3160, device='cuda:0')
8, NMSE : 0.1441650390625, lr : 0.05
tensor(10.0639, device='cuda:0') tensor(0.3352, device='cuda:0')
9, NMSE : 0.1414794921875, lr : 0.05
tensor(9.1810, device='cuda:0') tensor(0.3585, device='cuda:0')
10, NMSE : 0.1383056640625, lr : 0.05
tensor(9.3556, device='cuda:0') tensor(0.2839, device='cuda:0')
11, NMSE : 0.134521484375, lr : 0.05
tensor(8.7327, device='cuda:0') tensor(0.3120, device='cuda:0')
12, NMSE : 0.1304931640625, lr : 0.05
tensor(8.1149, device='cuda:0') tensor(0.3814, device='cuda:0')
13, NMSE : 0.1258544921875, lr : 0.05
tensor(8.4480, device='cuda:0') tensor(0.2762, device='cuda:0')
14, NMSE : 0.12115478515625, lr : 0.05
tensor(7.5813, device='cuda:0') tensor(0.3354, device='cuda:0')
15, NMSE : 0.1163330078125, lr : 0.05
tensor(7.6970, device='cuda:0') tensor(0.2651, device='cuda:0')
16, NMSE : 0.11126708984375, lr : 0.05
tensor(7.9622, device='cuda:0') tensor(0.2640, device='cuda:0')
17, NMSE : 0.1064453125, lr : 0.05
tensor(8.6515, device='cuda:0') tensor(0.1395, device='cuda:0')
18, NMSE : 0.10137939453125, lr : 0.05
tensor(7.6080, device='cuda:0') tensor(0.2910, device='cuda:0')
